@relation allinone

@attribute 'Time (Hour)' numeric
@attribute virulence numeric
@attribute 'patient precondition' numeric
@attribute 'Viral Load' numeric
@attribute 'Inflamatory (M1) Alveolar Macrophages' numeric
@attribute IL6 numeric
@attribute 'Active Adaptive Immune System' numeric
@attribute 'Immunosupressed (M2) Alveolar macrophages' numeric
@attribute 'Resting Alveolar Macrophages' numeric
@attribute 'Delayed IL6' numeric
@attribute 'Un-Infected Lung Tissue' numeric
@attribute 'Infected Lung Tissue' numeric
@attribute 'Destroyed Lung Tissue' numeric
@attribute 'Interferon Strength' numeric
@attribute PAMPs numeric
@attribute 'Resting Adaptive Immune System' numeric
@attribute TcellInterferon numeric

@data
44,1,0,5.57718,0.008039,0.000723,8.03054,13.0411,4999.95,0.000428,14446.5,118.843,248.968,4808.18,103.692,0.988571,0.31921
45,1,0,5.80477,0.008759,0.000788,7.99047,13.0451,4999.95,0.000468,14399.7,123.307,258.595,5045.87,108.75,0.988487,0.324048
46,1,0,6.04088,0.00954,0.000858,7.95061,13.0495,4999.94,0.00051,14350.5,127.901,268.53,5292.48,114.011,0.988392,0.328798
47,1,0,6.28579,0.010389,0.000935,7.91097,13.0543,4999.94,0.000557,14298.7,132.625,278.774,5548.28,119.482,0.988283,0.333461
48,1,0,6.53971,0.011309,0.001018,7.87154,13.0595,4999.93,0.000608,14244.5,137.48,289.332,5813.53,125.171,0.988159,0.338037
49,1,0,6.80291,0.012307,0.001108,7.83232,13.0651,4999.92,0.000663,14187.6,142.465,300.205,6088.49,131.084,0.988018,0.342529
50,1,0,7.07562,0.013389,0.001206,7.79332,13.0713,4999.92,0.000723,14128.1,147.579,311.396,6373.42,137.232,0.987856,0.346936
51,1,0,7.3581,0.014562,0.001312,7.75454,13.078,4999.91,0.000788,14065.8,152.821,322.906,6668.58,143.621,0.987673,0.351259
52,1,0,7.65057,0.015832,0.001427,7.71598,13.0852,4999.9,0.000858,14000.7,158.189,334.735,6974.22,150.261,0.987463,0.355501
53,1,0,7.95327,0.017208,0.001552,7.67763,13.0932,4999.89,0.000935,13932.7,163.682,346.883,7290.6,157.161,0.987225,0.359662
54,1,0,8.26644,0.018697,0.001687,7.63952,13.1018,4999.88,0.001018,13861.8,169.296,359.347,7617.96,164.328,0.986955,0.363743
55,1,0,8.59029,0.020308,0.001833,7.60163,13.1111,4999.87,0.001108,13787.9,175.029,372.126,7956.56,171.773,0.986648,0.367746
56,1,0,8.92506,0.02205,0.001991,7.56397,13.1213,4999.86,0.001206,13711,180.876,385.215,8306.61,179.504,0.986299,0.37167
57,1,0,9.27093,0.023933,0.002162,7.52654,13.1323,4999.84,0.001312,13630.9,186.832,398.61,8668.36,187.532,0.985903,0.375517
58,1,0,9.62813,0.025968,0.002347,7.48936,13.1443,4999.83,0.001427,13547.7,192.894,412.304,9042.03,195.865,0.985454,0.379288
59,1,0,9.99683,0.028165,0.002547,7.45242,13.1572,4999.81,0.001552,13461.3,199.054,426.29,9427.82,204.514,0.984946,0.382985
60,1,0,10.3772,0.030536,0.002763,7.41573,13.1713,4999.8,0.001687,13371.6,205.306,440.559,9825.92,213.488,0.98437,0.386607
61,1,0,10.7694,0.033093,0.002995,7.37931,13.1866,4999.78,0.001833,13278.6,211.643,455.1,10236.5,222.798,0.983718,0.390157
62,1,0,11.1736,0.03585,0.003247,7.34315,13.2031,4999.76,0.001991,13182.3,218.057,469.902,10659.8,232.453,0.98298,0.393635
63,1,0,11.59,0.038821,0.003517,7.30727,13.2211,4999.74,0.002162,13082.6,224.539,484.95,11095.9,242.465,0.982147,0.397042
64,1,0,12.0185,0.042019,0.003809,7.27167,13.2405,4999.72,0.002347,12979.5,231.08,500.23,11545,252.842,0.981206,0.400378
65,1,0,12.4594,0.045461,0.004123,7.23638,13.2615,4999.69,0.002547,12873,237.668,515.724,12007.2,263.597,0.980143,0.403646
66,1,0,12.9127,0.049162,0.004462,7.20139,13.2842,4999.67,0.002763,12763.1,244.292,531.413,12482.5,274.738,0.978945,0.406846
67,1,0,13.3785,0.05314,0.004825,7.16674,13.3088,4999.64,0.002995,12649.7,250.942,547.276,12971.1,286.277,0.977594,0.409979
68,1,0,13.8567,0.057412,0.005216,7.13242,13.3354,4999.61,0.003247,12532.9,257.603,563.292,13473,298.224,0.976073,0.413046
69,1,0,14.3474,0.061997,0.005636,7.09847,13.3641,4999.57,0.003517,12412.6,264.262,579.435,13988.2,310.59,0.974361,0.416048
70,1,0,14.8505,0.066915,0.006087,7.06491,13.3951,4999.54,0.003809,12288.9,270.905,595.679,14516.7,323.384,0.972435,0.418986
71,1,0,15.3659,0.072184,0.006571,7.03175,13.4285,4999.5,0.004123,12161.8,277.517,611.995,15058.5,336.618,0.970271,0.421861
72,1,0,15.8937,0.077827,0.007089,6.99902,13.4646,4999.46,0.004462,12031.3,284.081,628.355,15613.5,350.301,0.967842,0.424674
73,1,0,16.4336,0.083865,0.007644,6.96675,13.5035,4999.41,0.004825,11897.5,290.583,644.724,16181.7,364.443,0.965115,0.427427
74,1,0,16.9855,0.090321,0.008238,6.93497,13.5455,4999.36,0.005216,11760.4,297.005,661.071,16762.9,379.054,0.962059,0.430119
75,1,0,17.5492,0.097217,0.008873,6.90372,13.5906,4999.31,0.005636,11620.1,303.329,677.359,17356.9,394.145,0.958635,0.432753
76,1,0,18.1245,0.104578,0.009552,6.87303,13.6392,4999.26,0.006087,11476.5,309.538,693.552,17963.5,409.723,0.954804,0.435329
77,1,0,18.7111,0.112428,0.010277,6.84295,13.6915,4999.2,0.006571,11329.9,315.613,709.61,18582.6,425.799,0.950519,0.437849
78,1,0,19.3087,0.120793,0.01105,6.81352,13.7477,4999.13,0.007089,11180.2,321.537,725.495,19213.8,442.381,0.945732,0.440313
79,1,0,19.917,0.129697,0.011873,6.7848,13.8081,4999.06,0.007644,11027.6,327.291,741.164,19856.9,459.478,0.940388,0.442724
80,1,0,20.5355,0.139168,0.01275,6.75684,13.873,4998.99,0.008238,10872.2,332.856,756.577,20511.5,477.097,0.934429,0.445081
81,1,0,21.164,0.149231,0.013683,6.72969,13.9426,4998.91,0.008873,10714.1,338.214,771.69,21177.2,495.247,0.927789,0.447387
82,1,0,21.8018,0.159913,0.014675,6.70343,14.0172,4998.82,0.009552,10553.3,343.346,786.459,21853.6,513.935,0.920398,0.449643
83,1,0,22.4486,0.171241,0.015728,6.67813,14.0971,4998.73,0.010277,10390.1,348.235,800.84,22540.3,533.167,0.91218,0.45185
84,1,0,23.1038,0.183242,0.016845,6.65387,14.1828,4998.63,0.01105,10224.6,352.864,814.79,23236.8,552.95,0.90305,0.45401
85,1,0,23.7668,0.195944,0.018028,6.63074,14.2744,4998.53,0.011873,10056.9,357.214,828.264,23942.5,573.289,0.892917,0.456123
86,1,0,24.4371,0.209372,0.019281,6.60882,14.3724,4998.42,0.01275,9887.11,361.27,841.218,24657,594.19,0.881684,0.458193
